Tweet_ID,Hastag
1328442936175058950,#WearAMask😷
1328442936175058950,#SocialDistance📏
1328442936175058950,#CoverYourNoseToo👃
1328442936175058950,#WashYourHands🤲
1328442936334446605,#ATENCIÓN
1328442936334446605,#LuisSuárez
1328442936334446605,#Covid
1328442936829374467,#cdnpoli
1328442936829374467,#abpoli
1328442937357856768,#COVID19
1328442937949233152,#smallyoutuber
1328442937949233152,#netflix
1328442939203260416,#COVID19
1328442939203260416,#chaos
1328442939706548225,#FakeNews
1328442939706548225,#GitmoCanHouseThemAll
1328442939706548225,#StopTheSteal
1328442939706548225,#VoterIDNow
1328442939706548225,#Trump2020LandSlide
1328442939706548225,#liberalismIsAVirtualLobotomy
1328442939966631937,#Michigans
1328442940004429825,#COVID19
1328442941363400708,#uotraveladvisor
1328442941732392960,#COVID19
1328442941732392960,#KillerKenney
1328442944307785733,#WorldAntimicrobialAwarenessWeek
1328442945310232586,#Corona
1328442948590178304,#coronavirus
1328442948829188099,#Covid19
1328442950464851968,#COVID19
1328442950540554249,#GreysAnatomy
1328442951605817346,#covid19
1328442952239128577,#antivax
1328442952239128577,#Covid19
1328442952671236100,#Wea
1328442954302836741,#sanitaire
1328442954302836741,#amendes
1328442954751512576,#FirstThem
1328442956987109376,#COVID19
1328442957159129090,#VIDEO
1328442957511344128,#COVID19
1328442957922385921,#BeYourOwnBeautiful
1328442957922385921,#ClothesHaveNoGender
1328442960313262081,#ADOS
1328442960657195008,#COV
1328442961089146881,#QAnons
1328442961089146881,#Trump
1328442961089146881,#FoxNews
1328442961412169741,#Win
1328442961412169741,#lockdown2
1328442961412169741,#competition
1328442961412169741,#giveaway
1328442961412169741,#toys
1328442961412169741,#RT
1328442961432965120,#COVID19
1328442961676431360,#Suarez
1328442961676431360,#Covid19
1328442961676431360,#LeBombeDiVlad
1328442961676431360,#LBDV
1328442961894359040,#COVID19
1328442966147469312,#polillas
1328442966147469312,#COVID19
1328442966457856000,#EnVenezuelaBrillaLaPaz
1328442966587928577,#Portugal
1328442966587928577,#GrandeBretagne
1328442966587928577,#France
1328442968873656321,#coronavirus
1328442968903217153,#stayathome
1328442968903217153,#WearAMask
1328442968978624520,#Wea
1328442969087729666,#Michigans
1328442969297444870,#AGRIFISH
1328442969297444870,#COVID19
1328442969297444870,#f
1328442971096756224,#AmericanEducationWeek
1328442974322241536,#WearAMask
1328442974322241536,#WhiteHouseKaren
1328442974322241536,#Lockdown2
1328442974590611456,#Schulen
1328442974863302662,#COVID19
1328442974863302662,#research
1328442975211442177,#COVID19
1328442975320346626,#HandOfTheQueen
1328442975320346626,#UNagenda2030
1328442975320346626,#TheGreatReset
1328442976947871745,#COVID19
1328442977354731532,#queensu
1328442977354731532,#COVID19
1328442977556033536,#HoCoMd
1328442977765761024,#COVID
1328442977765761024,#smallbiz
1328442977765761024,#goodjobs
1328442977765761024,#qualityjobs
1328442978017320960,#Michigans
1328442978185211904,#lockdown
1328442978185211904,#DemocratsAreDestroyingAmerica
1328442978185211904,#DemocratsAreCorrupt
1328442978185211904,#BidenIsRacist
1328442978185211904,#HunterBidensLaptop
1328442978462019585,#stepsforahealthycommunity
1328442978462019585,#stayhealthyketchikan
1328442978462019585,#ketchikanstaystrong
1328442982136238080,#Schülerinnen
1328442982211743744,#MedTwitter
1328442982211743744,#COVI
1328442982467571715,#Corona
1328442982467571715,#Spaß
1328442982467571715,#Erfindung
1328442982467571715,#Realität
1328442982467571715,#Virus
1328442982467571715,#StayHomeSaveLives
1328442982576492544,#HentaiKamen
1328442982836658177,#covid19
1328442983545499651,#COVID19
1328442983545499651,#chaos
1328442986603053056,#Sydneytrains
1328442987026599936,#covidzero
1328442987110674433,#COV
1328442987341344774,#Blunting
1328442987341344774,#StevenTaylor
1328442987668516864,#pfizer
1328442987739828225,#Khol
1328442989790846980,#H2P
1328442991191621632,#covid19
1328442991384653829,#healthandsafety
1328442991384653829,#health
1328442991384653829,#PRP
1328442994480058368,#AmericanEducationWeek
1328442995142766599,#Wea
1328442998405931008,#CoronaErmächtigungsgesetz
1328442998405931008,#Freiheit
1328442998405931008,#Grundrechte
1328442998514802688,#SpaceKaren
1328442998594605057,#COVID19
1328442998594605057,#PublicHealth
1328442998594605057,#FluShot
1328442999127289861,#COVID19
1328442999127289861,#physicians
1328442999127289861,#primarycare
1328442999127289861,#surgery
1328442999127289861,#womensissues
1328442999945179136,#CoronavirusenBélgica
1328443001413230598,#TrumpsVirus
1328443001903968259,#ArminHodžić
1328443001903968259,#koronavirus
1328443002759602179,#Wea
1328443002960961538,#kwikkopy
1328443002960961538,#covid19
1328443002960961538,#socialdistancing
1328443003892019206,#covid19
1328443006769393670,#Michigans
1328443007327211521,#bigboobsfansite
1328443007327211521,#Corona
1328443007339737094,#Coronaleugner
1328443008287727618,#Schulen
1328443012091944968,#faucifraud
1328443014927278081,#Pandemie
1328443014927278081,#Corona
1328443015346708480,#StatSummit
1328443015346708480,#COVID19
1328443016420478979,#BuonanotteInArte
1328443016420478979,#Goodnight
1328443016420478979,#Sweetdreams
1328443016420478979,#StaySafeStayHealthy
1328443016420478979,#StayHome
1328443016420478979,#stayathome
1328443019675258882,#Georgians
1328443019675258882,#ReverandWarnock
1328443019675258882,#CorruptKelly
1328443020203724801,#peoplebeforepolitics
1328443020203724801,#Excludeduk
1328443023383007234,#Cuba🇨🇺
1328443024414793735,#pandemic
1328443024414793735,#coronavirus
1328443025463402496,#COVID19
1328443025463402496,#Sucre
1328443027170488322,#Covid
1328443027237588997,#emsavalles
1328443027237588997,#cdvalles
1328443027237588997,#noticias
1328443027510194176,#lycéens
1328443027510194176,#lycée
1328443027614883843,#HeroesWearMasks
1328443027614883843,#WearAMask
1328443027614883843,#WearAMaskSaveALife
1328443027719938054,#SoreLoser
1328443027719938054,#ConcedeNowTrump
1328443027719938054,#letamericahealagain
1328443028428623872,#icaiexamspostponement
1328443028428623872,#icaiscam2020
1328443029036933121,#COVID19
1328443029120663552,#Trump
1328443029120663552,#TrumpTerroism
1328443032073605121,#FraudNation
1328443032073605121,#LTC
1328443032073605121,#onpoli
1328443032425869319,#HakurenStudios
1328443032425869319,#SaintSeiya
1328443032425869319,#Illustration
1328443032425869319,#Animation
1328443032425869319,#WashYourHands
1328443032425869319,#StayHome
1328443033310867458,#covid19
1328443035680714753,#DYK
1328443035680714753,#flu
1328443035680714753,#COVID19
1328443035848486916,#diabetes
1328443035848486916,#covid19
1328443035848486916,#DiabetESP
1328443035848486916,#DiabAvengers
1328443036112744452,#SARS
1328443037412962304,#Deutschland
1328443037412962304,#Corona
1328443037496848385,#coronavirus
1328443037496848385,#facemask
1328443037496848385,#facemasks
1328443040135081989,#COVID19
1328443048586596353,#Covid19
1328443048586596353,#NHS
1328443048586596353,#Filipino
1328443048586596353,#VitaminD
1328443048645324802,#forgottenltd
1328443049807110145,#TrumpsRealLegacy
1328443050029420547,#Wea
1328443050662703104,#COVID19
1328443050666979328,#new
1328443050666979328,#DignityinSchools
1328443050666979328,#COVID
1328443050666979328,#CounselorsNotCops
1328443050666979328,#Education
1328443051740721157,#CreativeCurriculum
1328443051740721157,#CDCenters
1328443051740721157,#HeadStart
1328443052961239043,#Kashmir
1328443052961239043,#Kashmir
1328443052961239043,#loc
1328443053376495616,#covid19
1328443053376495616,#BidenTransition
1328443053686857728,#cdnpoli
1328443054278242305,#chriswhitty
1328443054278242305,#patrickvallance
1328443054911590402,#lockdown
1328443054911590402,#DemocratsAreDestroyingAmerica
1328443054911590402,#DemocratsAreCorrupt
1328443054911590402,#BidenIsRacist
1328443054911590402,#HunterBidensLaptop
1328443056740315138,#WakeUp
1328443056740315138,#SCAMDEMIC2020
1328443057209970690,#abtracetogether
1328443057402875904,#coronavirus
1328443057428180993,#Danemark
1328443057444831232,#COVID19
1328443058942316545,#DemVoice1
1328443058942316545,#wtpSena
1328443059068080132,#BaltimoreHealthCorps
1328443059118501890,#COVID19
1328443059235909635,#Wea
1328443059726643200,#TheWiderWiserView
1328443060917768192,#COVID19
1328443061131759623,#PCRTestPandemic
1328443061131759623,#PCRTEST
1328443061131759623,#PCR
1328443061131759623,#COVID19
1328443062234787840,#thatwomanfrommichigan
1328443062234787840,#COVID19
1328443062234787840,#Michigan
1328443062289252352,#ForeverOakland
1328443062289252352,#GlobalReset
1328443062289252352,#TeamM
1328443062469668866,#AutoRacingFans
1328443062469668866,#MotorSportsFans
1328443062591303680,#Liberty
1328443062754930690,#COV
1328443065359622154,#WearAMask
1328443065636368384,#Cummings
1328443066592620546,#COVID19
1328443070833192961,#COVID19
1328443070841565184,#MAGA
1328443074440151040,#TrumpVirusDeathToll250K
1328443075371253760,#XIAOJUN
1328443075371253760,#WayV
1328443075371253760,#WZD
1328443075526610946,#COVID19
1328443077330087937,#SomosEl89
1328443077330087937,#SomosCompañeros
